	Protein	Fat	Sugar	Saponin	Collagen	VA	VE	Taurine	CS
1	50.42	2.25	8.83	0.94	14.39	0.0299	0.112	417.91	10.35
2	49.36	2.64	8.62	1.07	14.86	0.0299	0.105	465.51	7.77
3	50.52	2.76	8.33	1.06	14.24	0.0262	0.111	490.02	11.92
4	50.92	3.63	8.02	1.42	15.63	0.04	0.117	491.09	17.37
5	51.9	3.09	8.33	0.86	15.6	0.0376	0.138	470.6	24.94
6	50.54	3.34	7.93	0.9	15.76	0.0493	0.138	462.57	12.53
7	52.1	3.79	8.79	1.33	15.86	0.071	0.222	463.1	9.89
8	53.03	4.52	8.14	1.24	16.81	0.0783	0.174	492.76	9.62
9	45.24	2.59	5.87	1.08	18.76	0.0198	0.119	1356.31	40.83
10	44.55	2.51	6.19	1.15	20.92	0.0363	0.116	1052.1	20.3
11	48.42	2.13	5.97	1.14	18.93	0.0298	0.106	1230.13	49.07
12	45.37	4.14	9.38	1.31	14.53				
13	43.23	4.94	9.44	1.22	12.75	0.048	0.194	1120.95	7.7
14	44.76	5.76	10.34	1.21	12.09	0.0688	0.18	1204.2	6.83
15	44.84	5.34	11.18	1.41	13.94	0.0356	0.193	1243.34	9.18
16	44.21	5.11	10.23	1.22	11.69	0.106	0.211	1022.48	7.92
17	43.95	2.61	7.41	1.3	13.24	0.0334	0.157	1237.93	72.99
18	43.59	3.33	7.75	1.3	11.68	0.0378	0.198	1252.94	47.06
19	43.11	3.2	8	1.41	12.52	0.0265	0.111	1290.42	57.2
20	42.65	3.5	7.88	1.4	12.31	0.0473	0.163	1289.1	58.61
21	44.19	3.43	8.62	1.26	13.17	0.0251	0.132	1216.82	36.7
22	43.83	3.62	8.72	1.41	12.87	0.0217	0.238	1236.2	35.76
23	48.4	4.91	9.43	1.37	19.42	0.0482	0.268	1089.85	31.96
24	49.09	5.27	10.24	1.33	18.33	0.0522	0.268	1141.14	27.45
25	47.57	5.44	10.39	1.09	15.19	0.0576	0.306	1125.44	31.13
26	48.47	4.56	10.57	1.06	16.03	0.0497	0.171	1178.06	100.12
27	49.05	5.06	10.64	1.07	14.67	0.0374	0.233	979.85	11.83
28	50.13	5.06	9	1.13	17.51	0.0499	0.237	1053.88	12.03
29	48.86	4.72	7.35	1.08	16.76	0.0475	0.302	997.18	9.46
30	44.17	5.7	10.61	2.32	16.46	0.0541	0.193	1470.33	73.12
31	43.24	5.55	9.08	2.74	15.33	0.0443	0.221	1406.01	57.39
32	43.04	6.17	9.38	2.5	12.32	0.0422	0.202	1415.1	58.87
33	44.69	6.7	9.95	2.42	11.29	0.12	0.26	1407.78	62.77
34	45.49	6.62	8.87	2.44	14.4	0.0356	0.222	1448.9	59.82
35	45.51	6.65	9.56	2.58	15.28	0.0359	0.185	1274.89	54.21
36	46.1	3.98	9.05	1.76	11.45	0.0248	0.128	1632.86	33.81
37	46.43	4.21	11.03	1.76	11.09	0.0371	0.124	1788.31	25.19
38	44.38	4.1	9.57	1.59	10.44	0.0169	0.123	1930.61	26.15
39	44.75	4.36	8.38	1.63	14.96	0.0269	0.132	1441.52	19.17
40	43.99	3.68	9.11	1.58	14.53	0.0137	0.117	1749.59	23.83
41	40.12	4.52	8.46	1.74	13.33	0.0165	0.133	1278.54	54.84
42	40.89	5.17	8.64	1.85	13.27	0.0157	0.215	1463.98	53.07
43	45.23	4.77	9.43	1.28	11.42	0.0393	0.145	1411.54	49.04
44	45.76	4.83	9.56	1.4	11.26	0.0586	0.189	1397.35	42.18
45	45.13	4.62	9.61	1.34	10.95	0.0583	0.167	1405.89	46.01
46	46.07	4.32	9.71	1.24	11.86	0.0575	0.135	1544.2	51.08
47	47.33	4.84	9.96	1.3	11.31	0.051	0.099	1390.88	42.17
48	45.63	4.54	10.04	1.28	12.29	0.067	0.24	1334.15	47.48
